subsys4	010B	001B	009B	012B	013A	014B	017B	018B
L-fucose mutarotase	1	1	2	1	1	1	1	1
L-fucose operon activator	1	0	0	0	0	0	0	0
L-fuculokinase (EC 2.7.1.51)	0	0	0	0	0	1	0	0
L-fuculose phosphate aldolase (EC 4.1.2.17)	0	0	0	0	0	0	0	0
L-lactate dehydrogenase (EC 1.1.1.27)	10813	22139	16183	26785	22720	28167	31081	12514
L-lactate dehydrogenase (EC 1.1.2.3)	940	2615	758	235	531	945	1225	467
L-lactate permease	29	48	22	4435	2689	1766	2117	1209
L-lysine 6-monooxygenase [NADPH] (EC 1.14.13.59), aerobactin biosynthesis protein IucD	0	0	0	0	0	0	0	0
L-lysine permease	1	1	1	1	1	1	1	1
L-proline glycine betaine ABC transport system permease protein ProV (TC 3.A.1.12.1)	3	7	10	246	428	556	165	55
L-proline glycine betaine ABC transport system permease protein ProW (TC 3.A.1.12.1)	0	0	0	0	0	0	0	0
L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1)	1	3	26	218	393	480	183	40
L-Proline/Glycine betaine transporter ProP	0	0	1	0	0	1	2	0
L-rhamnose isomerase (EC 5.3.1.14)	0	0	0	4	0	0	0	1
L-rhamnose mutarotase	0	0	0	0	0	0	0	0
L-rhamnose operon regulatory protein RhaS	0	0	0	0	0	1	0	0
L-rhamnose operon transcriptional activator RhaR	0	1	0	1	0	0	0	0
L-rhamnose-proton symporter	1	0	0	0	1	0	0	0
L-ribulose-5-phosphate 3-epimerase UlaE (EC 5.1.3.22) (L-ascorbate utilization protein E)	0	0	0	0	0	1	0	0
L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	241	1393	883	20	4	4	66	8
L-ribulose-5-phosphate 4-epimerase UlaF (EC 5.1.3.4) (L-ascorbate utilization protein F)	0	0	0	0	0	0	0	0
L-serine dehydratase (EC 4.3.1.17)	4	13	5	1204	782	1165	2782	2004
L-serine dehydratase 1 (EC 4.3.1.17)	0	0	0	0	0	0	0	0
L-serine dehydratase, alpha subunit (EC 4.3.1.17)	783	2005	582	1358	2072	2210	1450	1025
L-serine dehydratase, beta subunit (EC 4.3.1.17)	300	1381	373	903	429	645	458	190
L-seryl-tRNA(Sec) selenium transferase (EC 2.9.1.1)	9	2	0	1	6	5	6	6
L-sorbose 1-phosphate reductase (EC 1.1.1.-)	0	0	0	0	0	0	0	0
L-threonine 3-dehydrogenase (EC 1.1.1.103)	12	21	7	1202	1035	4343	6157	2565
L-threonine 3-O-phosphate decarboxylase (EC 4.1.1.81)	6	15	8	734	35	80	152	88
L-threonine transporter, anaerobically inducible	0	0	0	0	0	0	0	0
L-xylulose 5-phosphate 3-epimerase (EC 5.1.3.-)	456	2415	1450	2	2	3	5	9
L-xylulose 5-phosphate 3-epimerase (EC 5.1.3.-) homolog	0	0	0	0	0	0	0	0
L-xylulose/3-keto-L-gulonate kinase (EC 2.7.1.-)	0	1	0	0	1	1	1	0
L,D-transpeptidase ErfK	0	0	0	0	0	0	0	0
L,D-transpeptidase YbiS	0	0	0	0	0	0	1	0
L,D-transpeptidase YcbB	0	0	0	0	0	0	0	0
L,D-transpeptidase YnhG	0	0	0	0	0	0	0	0
Lactacin F ABC transporter permease component	1	0	0	92	1	5	225	247
Lactacin F transporter auxillary protein	317	378	247	1	1	1	1	1
Lactacin F two-component system response regulator	619	2109	2303	4	3	4	4	3
Lactacin F two-component system sensor histidine kinase	740	2537	2717	2	2	2	4	2
Lactaldehyde reductase (EC 1.1.1.77)	1	4	2	655	11	118	1946	1092
Lactam utilization protein LamB	1	4	3	1	2	2	9	9
Lactate 2-monooxygenase (EC 1.13.12.4)	537	5453	1926	2	3	2	5	1
Lactate-responsive regulator LldR in Enterobacteria, GntR family	0	0	1	359	5	9	431	30
Lactate-responsive regulator LldR in Firmicutes, GntR family	467	424	70	156	45	531	4	155
Lacto-N-biose phosphorylase (EC 2.4.1.211)	0	0	0	1	0	0	0	0
Lactobacillus delbrueckii phage mv4 main capsid protein Gp34 homolog lin2390	0	0	0	11	0	0	0	0
Lactose and galactose permease, GPH translocator family	39	72	34	2	2	1	1	7
Lactose permease	0	1	1	0	0	0	0	0
Lactose phosphotransferase system repressor	27	49	23	1516	2758	6034	38	8832
Lactoylglutathione lyase (EC 4.4.1.5)	6	14	3	513	140	338	881	451
Large exoproteins involved in heme utilization or adhesion	0	0	0	0	0	1	1	0
Large-conductance mechanosensitive channel	369	1141	628	2038	1314	2234	4456	2928
Late competence protein ComC, processing protease	16	68	35	1	26	9	37	3
Late competence protein ComEA, DNA receptor	145	451	258	80	116	132	51	19
Late competence protein ComEC, DNA transport	154	451	222	86	138	157	67	17
Late competence protein ComGA, access of DNA to ComEA	16	67	78	11	16	16	5	3
Late competence protein ComGB, access of DNA to ComEA	11	45	61	9	19	38	6	4
Leucine dehydrogenase (EC 1.4.1.9)	1070	0	0	0	0	0	0	0
Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system	14	21	17	9076	2664	11941	10095	3945
Leucyl-tRNA synthetase (EC 6.1.1.4)	1176	1955	1774	4640	3581	7629	10178	5233
Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6)	0	1	0	0	0	1	0	0
Lin2022 protein	0	0	0	0	0	0	0	0
Lipid A acylation protein PagP, palmitoyltransferase	0	0	0	0	0	0	2	0
Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.-)	5	15	5	2064	732	2100	2707	1603
Lipid A export ATP-binding/permease protein MsbA	235	793	910	380	170	601	741	468
Lipid A export ATP-binding/permease protein MsbA (EC 3.6.3.25)	6	4	1	214	254	570	505	336
Lipid carrier : UDP-N-acetylgalactosaminyltransferase (EC 2.4.1.-)	5	23	3	131	408	746	1023	620
Lipid-A-disaccharide synthase (EC 2.4.1.182)	6	10	2	413	333	483	1075	421
Lipoate synthase	7	5	1	91	6	16	85	41
Lipoate-protein ligase A	7	27	17	588	642	344	1915	785
Lipopolysaccharide 1,2-N-acetylglucosaminetransferase (EC 2.4.1.56)	0	0	0	0	0	1	1	1
Lipopolysaccharide 1,6-galactosyltransferase (EC 2.4.1.-)	0	5	0	0	0	0	0	0
Lipopolysaccharide ABC transporter, ATP-binding protein LptB	3	5	4	1457	393	845	2105	912
Lipopolysaccharide biosynthesis glycosyltransferase	0	0	0	0	0	0	0	0
Lipopolysaccharide biosynthesis protein WzxC	0	0	1	0	0	0	0	0
Lipopolysaccharide cholinephosphotransferase LicD1 (EC 2.7.8.-)	1	1	1	10	3	8	8	5
Lipopolysaccharide cholinephosphotransferase LicD2 (EC 2.7.8.-)	0	0	0	0	0	0	0	0
Lipopolysaccharide cholinephosphotransferase LicD3 (EC 2.7.8.-)	0	1	0	2	2	69	13	0
Lipopolysaccharide core biosynthesis glycosyltransferase, group 2 family protein (EC 2.4.1.-)	2	3	2	275	370	832	1802	618
Lipopolysaccharide core biosynthesis protein RfaY	1	0	0	9	3	6	22	6
Lipopolysaccharide core biosynthesis protein WaaP (EC 2.7.-.-), heptosyl-I-kinase	0	0	0	0	0	0	0	0
Lipopolysaccharide heptosyltransferase I (EC 2.4.1.-)	2	8	2	621	256	978	1327	711
Lipopolysaccharide heptosyltransferase III (EC 2.4.1.-)	0	0	2	0	0	0	0	1
Lipoprotein releasing system ATP-binding protein LolD	2	8	2	486	723	986	1358	574
Lipoprotein releasing system transmembrane protein LolC	4	10	2	471	350	633	1241	504
Lipoprotein releasing system transmembrane protein LolE	1	4	1	173	264	539	806	420
Lipoprotein signal peptidase (EC 3.4.23.36)	1041	2710	1520	3278	2334	3699	8460	4019
Lipoteichoic acid synthase LtaS Type Ib	0	0	1	0	0	0	0	0
Lipoteichoic acid synthase LtaS Type IIa	409	1155	1238	737	1042	1048	461	116
Lipoteichoic acid synthase LtaS Type IIb	132	450	328	123	181	196	76	30
Lipoteichoic acid synthase LtaS Type IIc	0	0	0	0	0	0	0	0
Lipoteichoic acid synthase LtaS Type IVb	0	0	0	2	2	0	8	0
Lmbe-related protein	0	0	0	0	0	0	0	0
Lon-like protease with PDZ domain	471	1261	869	741	683	722	877	578
Long-chain fatty acid transport protein	0	0	0	0	0	1	2	0
Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	25	54	25	4344	2773	10213	13800	8614
Low molecular weight protein tyrosine phosphatase (EC 3.1.3.48)	792	2140	853	541	480	927	1782	1052
Low molecular weight protein-tyrosine-phosphatase Wzb (EC 3.1.3.48)	0	0	3	178	205	235	54	16
Low temperature requirement B protein	0	0	0	0	0	0	0	0
Low-affinity gluconate/H+ symporter GntU	0	1	0	0	0	0	0	0
Low-affinity inorganic phosphate transporter	0	1	0	0	0	0	1	0
low-specificity D-threonine aldolase	0	0	0	0	1	0	0	0
Low-specificity L-threonine aldolase (EC 4.1.2.5)	3	2	1	3	3	4	10	8
LppC putative lipoprotein	0	1	0	0	0	0	0	0
LPS-assembly lipoprotein RlpB precursor (Rare lipoprotein B)	0	0	0	0	0	0	0	0
LptA, protein essential for LPS transport across the periplasm	1	1	0	679	1	1	2	1
LrgA-associated membrane protein LrgB	415	13	23	77	311	321	855	281
LSU m3Psi1915 methyltransferase RlmH	455	1396	654	614	1561	1348	2073	1178
LSU m5C1962 methyltransferase RlmI	4	3	4	361	381	668	1361	597
LSU ribosomal protein L10p (P0)	44118	100538	95339	48067	62852	82303	147233	75565
LSU ribosomal protein L11p (L12e)	50794	106343	91422	54507	49756	64281	98981	38181
LSU ribosomal protein L13p (L13Ae)	36441	87085	64765	35625	40422	46962	62366	37559
LSU ribosomal protein L14e	0	0	0	0	0	3	6	0
LSU ribosomal protein L14p (L23e)	32355	70072	64047	24535	40705	33291	58987	24918
LSU ribosomal protein L15p (L27Ae)	13216	32614	27550	38362	45273	60883	116371	41783
LSU ribosomal protein L16p (L10e)	58229	117949	113825	49595	50774	59566	131715	53002
LSU ribosomal protein L17p	3980	10279	10331	20274	14948	33385	53502	16841
LSU ribosomal protein L18p (L5e)	22085	46067	44209	30636	30668	41341	71366	31837
LSU ribosomal protein L19p	9665	13881	13968	16801	18105	55272	47103	14575
LSU ribosomal protein L1p (L10Ae)	8052	17839	16014	21436	25695	33577	104184	48068
LSU ribosomal protein L20p	5420	12240	12873	4623	2678	4822	12562	4447
LSU ribosomal protein L21p	23657	54350	49984	61794	65325	74567	155648	62115
LSU ribosomal protein L22p (L17e)	11440	24643	21586	26844	38827	48197	124268	60178
LSU ribosomal protein L23p (L23Ae)	20809	45725	46611	33692	46578	51842	87299	42497
LSU ribosomal protein L24p (L26e)	42269	89485	94846	69272	46799	89868	184905	73767
LSU ribosomal protein L25p	18	56	13	3045	1900	4635	9284	5420
LSU ribosomal protein L27p	9740	20504	23522	18730	9987	32913	55535	21501
LSU ribosomal protein L28p	917	3356	2970	14086	20459	32349	65155	32767
LSU ribosomal protein L29p (L35e)	30508	79290	69766	32701	33417	47422	98182	40296
LSU ribosomal protein L2p (L8e)	23258	43859	41334	28678	38055	34424	54661	17228
LSU ribosomal protein L30p (L7e)	15729	35304	41157	36722	40605	55157	101213	39632
LSU ribosomal protein L31p	11339	15194	17774	9418	12425	11225	21959	11582
LSU ribosomal protein L32p	707	2091	1826	6396	9907	15458	21122	9453
LSU ribosomal protein L33p	9066	23306	14380	22602	26170	54346	87399	43099
LSU ribosomal protein L34p	19035	46553	31808	14020	19706	14513	52776	19678
LSU ribosomal protein L35p	20524	51878	43586	19756	12546	21270	47167	18082
LSU ribosomal protein L36p	38157	26281	77459	13282	11156	19083	37202	11534
LSU ribosomal protein L3p (L3e)	19029	42284	39040	21221	28340	28907	50306	19282
LSU ribosomal protein L4p (L1e)	18809	45981	43753	30887	43628	39654	60526	26843
LSU ribosomal protein L5p (L11e)	16719	40184	36320	23396	25840	24482	46144	22486
LSU ribosomal protein L6p (L9e)	10419	23161	23069	24916	25440	25666	50232	21904
LSU ribosomal protein L7/L12 (P1/P2)	9051	18974	22803	29498	20851	54043	130750	87219
LSU ribosomal protein L9p	3981	11370	4094	12100	13068	18794	28271	19973
Lysine 2,3-aminomutase (EC 5.4.3.2)	0	0	0	0	0	0	2	0
Lysine decarboxylase (EC 4.1.1.18)	4	7	4	444	158	563	369	243
Lysine decarboxylase 2, constitutive (EC 4.1.1.18)	0	0	0	0	0	0	0	0
Lysine-arginine-ornithine-binding periplasmic protein precursor (TC 3.A.1.3.1)	6	4	3	999	367	890	1540	1431
Lysine-specific permease	3	3	1	234	140	1290	503	338
Lysine/cadaverine antiporter membrane protein CadB	255	716	114	1	3	1	2	2
Lysophospholipase (EC 3.1.1.5)	0	0	0	0	0	0	1	0
Lysophospholipase L2 (EC 3.1.1.5)	2388	2806	2418	3	4	6	5	3
Lysophospholipid acyltransferase	1	6	2	787	2892	3212	3646	1962
LysR family regulatory protein CidR	10	15	7	1350	1243	3541	2543	1656
LysR family transcriptional regulator lrhA	0	1	0	1	0	1	0	1
LysR family transcriptional regulator near succinyl-CoA:3-ketoacid-coenzyme A transferase	0	1	0	0	112	138	254	133
LysR family transcriptional regulator STM2281	0	0	0	19	0	13	2	6
LysR family transcriptional regulator STM3121	1	154	1	3	2	1	1	1
LysR family transcriptional regulator YbhD	0	0	0	0	0	0	0	0
LysR family transcriptional regulator YdcI	0	0	0	0	0	0	0	1
LysR family transcriptional regulator YeiE	2	5	3	38	87	113	53	17
LysR family transcriptional regulator YfeR	0	0	0	0	1	1	1	0
LysR family transcriptional regulator YfiE	0	0	0	1	0	0	0	0
LysR family transcriptional regulator YhjC	0	0	0	0	0	0	0	0
LysR family transcriptional regulator YneJ	0	0	0	0	1	0	0	0
LysR family transcriptional regulator YnfL	0	0	1	0	0	0	0	0
LysR-family transcriptional regulator YhaJ	0	0	0	1	0	0	0	0
Lysyl endopeptidase (EC 3.4.21.50)	1	0	0	2	1	0	2	1
Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)	3471	8493	4804	6844	6212	11166	14834	6566
LytH protein involved in methicillin resistance	0	0	0	0	0	0	0	0
M protein trans-acting positive regulator (Mga)	0	0	0	2	0	1	1	0
Macrolide export ATP-binding/permease protein MacB (EC 3.6.3.-)	5	29	2	285	64	249	278	207
Macrolide-specific efflux protein MacA	2	3	1	185	57	135	173	91
macromolecule metabolism	3	7	1	171	322	600	1422	437
macromolecule synthesis, modification	1	2	1	193	83	208	387	274
Magnesium and cobalt efflux protein CorC	4	8	5	1245	347	1416	2458	1584
Major cell-binding factor precursor PebA	0	0	0	0	1	1	0	0
Major facilitator superfamily (MFS) transporter	0	1	0	5	2	3	6	5
Major myo-inositol transporter IolT	0	0	0	4	0	0	0	0
Malate dehydrogenase (EC 1.1.1.37)	27	70	19	10130	6225	13919	44504	14903
Malate Na(+) symporter	2	18	2	85	90	113	479	282
Malate permease	17	95	9	264	1068	612	1039	336
Malate synthase (EC 2.3.3.9)	0	0	0	0	0	0	0	0
Malate synthase G (EC 2.3.3.9)	0	0	0	0	0	0	0	0
Malate:quinone oxidoreductase (EC 1.1.5.4)	0	1	0	1	0	0	0	0
Malolactic enzyme (EC 1.-.-.-)	7	63	2	4	5	5	5	4
Malolactic regulator	34	114	5	4	2	7	4	3
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	9	23	9	3301	3279	5404	8539	4530
Maltodextrin glucosidase (EC 3.2.1.20)	770	2047	874	743	773	907	1090	554
Maltodextrin phosphorylase (EC 2.4.1.1)	1	0	1	12	11	7	17	5
Maltoporin (maltose/maltodextrin high-affinity receptor, phage lambda receptor protein)	0	0	0	0	1	0	0	0
Maltose O-acetyltransferase (EC 2.3.1.79)	1452	3210	1961	40	12	7	37	17
Maltose operon periplasmic protein MalM	1	1	0	0	0	0	2	0
Maltose operon transcriptional repressor MalR, LacI family	484	1567	600	1003	2021	2059	2194	401
Maltose phosphorylase (EC 2.4.1.8)	0	0	0	0	0	0	0	0
Maltose regulon modulator	1	1	1	1	200	569	3	1
Maltose regulon regulatory protein MalI (repressor for malXY)	0	0	1	1	0	0	0	0
Maltose-6'-phosphate glucosidase (EC 3.2.1.122)	6428	7069	1501	3979	5246	4371	15333	1882
Maltose/maltodextrin ABC transporter, permease protein MalF	10535	16768	8049	25712	46414	67668	60972	19838
Maltose/maltodextrin ABC transporter, permease protein MalG	4933	8390	4292	12782	13525	8922	28676	15818
Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE	22355	45187	18369	64750	85527	91402	154216	69184
Maltose/maltodextrin transport ATP-binding protein MalK (EC 3.6.3.19)	552	841	269	8814	3288	6466	31070	16268
Manganese ABC transporter, ATP-binding protein SitB	12	40	6	901	702	857	2016	1309
Manganese ABC transporter, inner membrane permease protein SitC	5	21	12	15	12	32	31	12
Manganese ABC transporter, inner membrane permease protein SitD	5	23	6	612	447	130	1389	1031
Manganese ABC transporter, periplasmic-binding protein SitA	2	25	4	29	20	17	104	41
Manganese superoxide dismutase (EC 1.15.1.1)	6	4	2	17	3	3	19	42
Manganese transport protein MntH	2968	7864	1843	36	63	104	185	98
Manganese-dependent inorganic pyrophosphatase (EC 3.6.1.1)	3173	10268	4958	1412	1956	2616	1138	214
Manganese-dependent protein-tyrosine phosphatase (EC 3.1.3.48)	364	984	1174	2	1	1	1	1
Mannitol operon activator, BglG family	145	416	146	88	121	71	92	16
Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	2000	900	95	1	6	4	5	1
Mannonate dehydratase (EC 4.2.1.8)	4	8	6	1311	3332	1625	7563	2764
Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22)	5	15	5	935	909	1344	3300	1226
Mannose-6-phosphate isomerase (EC 5.3.1.8)	1932	5205	780	1070	1317	1874	3020	1121
mannose-specific adhesin FimH	1	0	0	0	0	0	0	0
MazG nucleotide pyrophosphohydrolase	155	11	3	637	356	1087	1556	936
MdtR transcriptional regulator, MarR family	1	1	1	3	1	5	1	1
Mediator of hyperadherence YidE	0	1	1	1	1	1	0	0
Melibiose carrier protein, Na+/melibiose symporter	0	6	1	812	1247	105	1711	638
Melibiose operon regulatory protein	3	0	1	0	0	0	0	0
Membrane alanine aminopeptidase N (EC 3.4.11.2)	2007	6597	2730	1665	2636	5106	1808	1029
Membrane fusion protein of RND family multidrug efflux pump	1	1	1	1508	1	1	1	2
Membrane protein associated with methylmalonyl-CoA decarboxylase	0	0	0	1	0	1	0	0
Membrane protein containing HD superfamily hydrolase domain, YQFF ortholog	1	3	1	119	144	206	380	185
Membrane Protein Functionally coupled to the MukBEF Chromosome Partitioning Mechanism	1	0	2	0	1	1	0	1
Membrane protein SypL involved in exopolysaccharide production	0	0	0	0	0	0	0	0
Membrane protein YciC, linked to IspA	0	0	0	0	0	0	0	0
Membrane protein YcjF	0	0	0	0	0	0	0	0
Membrane proteins related to metalloendopeptidases	7	10	3	6	642	1890	2231	1409
Membrane transporter HdeD, H-NS repressed	0	2	0	0	0	2	0	0
Membrane-associated zinc metalloprotease	3771	9481	6935	2372	2614	3892	4393	1740
Membrane-bound lytic murein transglycosylase A precursor (EC 3.2.1.-)	0	1	0	0	0	0	0	0
Membrane-bound lytic murein transglycosylase B precursor (EC 3.2.1.-)	0	0	0	0	0	0	0	0
Membrane-bound lytic murein transglycosylase C precursor (EC 3.2.1.-)	0	0	0	0	0	0	0	1
Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-)	2	5	2	75	15	193	118	29
Membrane-bound lytic murein transglycosylase E (EC 3.2.1.-)	0	0	0	0	0	0	0	0
Menaquinone biosynthesis related protein, putative DHNA-CoA thioesterase	0	0	0	0	0	0	0	0
Menaquinone-specific isochorismate synthase (EC 5.4.4.2)	0	0	0	0	0	0	0	0
Mercuric ion reductase (EC 1.16.1.1)	0	0	0	0	0	0	0	1
Mercuric resistance operon regulatory protein	0	0	0	0	0	0	0	0
Meso-diaminopimelate D-dehydrogenase (EC 1.4.1.16)	20	57	12	3925	6131	10629	18462	11412
Metal-dependent hydrolase COG0491 with rhodanese-homology domain (RHOD)	0	0	0	0	0	0	2	0
Metal-dependent hydrolases of the beta-lactamase superfamily I	2	3	1	67	103	179	473	261
Metallo-beta-lactamase family protein, RNA-specific	1	1	1	2	4	1	8	2
Methionine ABC transporter ATP-binding protein	411	808	783	3754	3574	7130	20764	4076
Methionine ABC transporter permease protein	480	777	593	983	994	3550	1741	645
Methionine ABC transporter substrate-binding protein	278	542	315	2148	2165	12520	8147	2045
Methionine aminopeptidase (EC 3.4.11.18)	3086	3655	1831	12551	6893	14607	17719	8551
Methionine gamma-lyase (EC 4.4.1.11)	6	8	4	1277	864	313	1347	3154
Methionine repressor MetJ	0	0	0	0	0	0	0	0
Methionine synthase activation domain (EC 2.1.1.13)	1	1	1	316	92	179	307	151
Methionine transporter MetT	3	8	1	104	261	437	662	354
Methionyl-tRNA formyltransferase (EC 2.1.2.9)	3201	8999	3891	3378	2435	3321	3947	1873
Methionyl-tRNA synthetase (EC 6.1.1.10)	2002	5348	3440	4415	3961	7891	9397	4712
Methionyl-tRNA synthetase-related protein 2	0	0	0	3	0	3	3	0
Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)	1	17	16	5	6	4	17	16
Methyl-accepting chemotaxis protein II (aspartate chemoreceptor protein)	0	0	0	0	0	0	0	0
Methyl-accepting chemotaxis protein III (ribose and galactose chemoreceptor protein)	0	0	0	0	0	0	0	0
Methyl-accepting chemotaxis protein IV (dipeptide chemoreceptor protein)	0	0	0	9	0	1	61	23
Methyl-directed repair DNA adenine methylase (EC 2.1.1.72)	7	8	2	338	213	511	1155	115
Methylase of polypeptide chain release factors	0	0	1	0	0	2	0	1
Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	1380	4389	2225	26	117	282	756	319
Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	6629	14698	8792	4851	1877	5177	8557	4371
Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5) / Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	14	605	52	545	902	936	722	125
Methylglyoxal synthase (EC 4.2.3.3)	1	1	2	1	5	1	3	8
Methylisocitrate lyase (EC 4.1.3.30)	0	0	1	0	0	0	0	0
Methylmalonate-semialdehyde dehydrogenase [inositol] (EC 1.2.1.27)	0	0	0	0	0	0	0	4
Methylmalonyl-CoA decarboxylase, alpha chain (EC 4.1.1.41)	17	49	18	2406	4542	7274	13814	7021
Methylmalonyl-CoA decarboxylase, beta chain (EC 4.1.1.41)	1	2	1	6	1	4	9	7
Methylmalonyl-CoA epimerase (EC 5.1.99.1)	5	5	8	10969	4	6	13	5
Methylmalonyl-CoA mutase (EC 5.4.99.2)	1	3	1	7	3	12	11	7
Methylthioadenosine deaminase	2	2	1	1055	119	25	33	13
Mevalonate kinase (EC 2.7.1.36)	340	965	634	1094	352	595	1049	841
MFS superfamily export protein YceL	302	599	300	2	10	7	12	3
Mg-protoporphyrin IX monomethyl ester oxidative cyclase (anaerobic) (EC 1.14.13.81)	0	0	1	0	0	0	0	0
Mgl repressor and galactose ultrainduction factor GalS, HTH-type transcriptional regulator	0	0	0	0	0	0	0	0
MiaB family protein, possibly involved in tRNA or rRNA modification	7	14	5	1444	649	1440	2431	1093
Mitochondrial processing peptidase-like protein (EC 3.4.24.64)	78	285	90	672	1103	1493	3221	1943
Mlc, transcriptional repressor of MalT (the transcriptional activator of maltose regulon) and manXYZ operon	1	3	1	430	112	175	561	205
Mlr7403 protein	0	0	0	0	0	0	0	0
MltA-interacting protein MipA	0	0	0	0	1	0	0	0
Mn-dependent transcriptional regulator MntR	4	26	26	18	13	26	103	46
Molybdate-binding domain of ModE	2	14	2	49	50	85	121	182
Molybdenum ABC transporter, periplasmic molybdenum-binding protein ModA (TC 3.A.1.8.1)	0	0	0	0	0	0	0	1
Molybdenum cofactor biosynthesis protein MoaA	1	1	5	1	1	2	1	2
Molybdenum cofactor biosynthesis protein MoaB	4	9	2	1705	1039	1200	1904	1142
Molybdenum cofactor biosynthesis protein MoaC	6	1	3	1	1	1	1	1
Molybdenum cofactor biosynthesis protein MoaD	0	0	0	1	0	0	0	1
Molybdenum cofactor biosynthesis protein MoaE	1	1	2	1	1	1	1	1
Molybdenum transport ATP-binding protein ModC (TC 3.A.1.8.1)	1	2	1	3	1	4	1	2
Molybdenum transport system permease protein ModB (TC 3.A.1.8.1)	1	1	1	1	2	1	1	1
Molybdopterin biosynthesis Mog protein, molybdochelatase	2	0	0	0	0	0	0	0
Molybdopterin biosynthesis protein MoeA	1	1	2	1	1	1	1	1
Molybdopterin biosynthesis protein MoeB	1	1	0	3	1	1	10	1
Molybdopterin-guanine dinucleotide biosynthesis protein MobA	2	0	4	917	0	2	8	2
Molybdopterin-guanine dinucleotide biosynthesis protein MobB	2	5	2	85	5	28	123	30
Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-)	7	10	6	664	841	1445	2892	1262
Monogalactosyldiacylglycerol synthase precursor	1	1	1	75	146	103	126	11
Monoglyceride lipase (EC 3.1.1.23)	4	6	27	328	344	1682	182	31
MotA/TolQ/ExbB proton channel family protein	10	21	8	2294	1246	495	3253	675
MoxR-like ATPase in aerotolerance operon	9	20	10	1611	959	3209	4578	2576
MreB-like protein (Mbl protein)	4	22	76	2315	383	890	1316	773
MSHA biogenesis protein MshH	0	0	0	0	0	0	0	0
MSM (multiple sugar metabolism) operon regulatory protein	4	84	44	1370	1559	1499	2096	1145
Mucin-desulfating sulfatase MdsA precursor (EC 3.1.6.14)	0	0	0	0	0	0	0	0
Muconate cycloisomerase (EC 5.5.1.1)	0	0	0	0	0	0	0	0
Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps	152	393	212	748	761	1000	3251	994
Multidrug efflux transporter MdtP	2512	3833	6534	901	586	451	973	136
Multidrug resistance efflux pump PmrA	1	4	2	0	0	0	0	0
Multidrug resistance transporter, Bcr/CflA family	4	2	1	1	1	2	2	2
Multidrug transporter MdtB	0	0	0	0	0	0	0	0
Multidrug transporter MdtC	0	0	0	0	0	0	0	0
Multidrug transporter MdtD	0	0	1	0	0	0	1	0
Multidrug-efflux transporter, major facilitator superfamily (MFS) (TC 2.A.1)	267	639	172	3	55	147	157	68
Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	496	1074	1419	3326	2477	4507	7653	4290
Multiple antibiotic resistance protein MarC	0	0	0	0	0	0	0	0
Multiple antibiotic resistance protein MarR	1	3	1	1	1	3	5	1
Multiple sugar ABC transporter, ATP-binding protein	12498	21895	7727	9050	23407	21675	11402	1774
Multiple sugar ABC transporter, membrane-spanning permease protein MsmF	282	313	159	2567	1969	1486	8305	2835
Multiple sugar ABC transporter, membrane-spanning permease protein MsmG	288	333	191	11	2	2	2	1
Multiple sugar ABC transporter, substrate-binding protein	511	526	206	27222	8780	15404	48969	23569
Multiple sugar metabolism regulator	0	0	0	0	0	0	0	0
Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13)	1	91	4	246	22	784	6	13
Murein-DD-endopeptidase (EC 3.4.99.-)	0	1	0	0	0	0	0	0
Mutator mutT protein (7,8-dihydro-8-oxoguanine-triphosphatase) (EC 3.6.1.-)	2224	7312	1871	637	177	804	699	251
MutS domain protein, family 2	0	1	0	3	1	1	2	1
MutS-related protein, family 1	1	3	1	65	52	153	339	144
Myo-inositol 2-dehydrogenase (EC 1.1.1.18)	1	3	13	64	58	3	77	6
Myo-inositol 2-dehydrogenase 1 (EC 1.1.1.18)	1	1	1	2	1	6	7	4
N-3-oxooctanoyl-L-homoserine lactone quorum-sensing transcriptional activator	0	0	0	0	0	0	1	0
N-acetyl glucosamine transporter, NagP	0	0	0	0	0	0	0	0
